quad_cnvar:    FAILED, 87626.000000 246.743244
quad_snvar:    FAILED, 87626.000000 246.743244
quad_invar:    FAILED, 87626.000000 246.743244
quad_lnvar:    FAILED, 87626.000000 246.743244
quad_Lnvar:    FAILED, 87626.000000 246.743244
quad_fnvar:    FAILED, 87626.000000 246.743244
quad_dnvar:    FAILED, 87626.000000 246.743244
quad_czvar:    FAILED, 87626.000000 246.743244
quad_szvar:    FAILED, 87626.000000 246.743244
quad_izvar:    FAILED, 87626.000000 246.743244
quad_lzvar:    FAILED, 87626.000000 246.743244
quad_Lzvar:    FAILED, 87626.000000 246.743244
quad_fzvar:    FAILED, 87626.000000 246.743244
quad_dzvar:    FAILED, 87626.000000 246.743244
ucd_cnvar:    FAILED, 87626.000000 246.743244
ucd_snvar:    FAILED, 87626.000000 246.743244
ucd_invar:    FAILED, 87626.000000 246.743244
ucd_lnvar:    FAILED, 87626.000000 246.743244
ucd_Lnvar:    FAILED, 87626.000000 246.743244
ucd_fnvar:    FAILED, 87626.000000 246.743244
ucd_dnvar:    FAILED, 87626.000000 246.743244
ucd_czvar:    FAILED, 87626.000000 246.743244
ucd_szvar:    FAILED, 87626.000000 246.743244
ucd_izvar:    FAILED, 87626.000000 246.743244
ucd_lzvar:    FAILED, 87626.000000 246.743244
ucd_Lzvar:    FAILED, 87626.000000 246.743244
ucd_fzvar:    FAILED, 87626.000000 246.743244
ucd_dzvar:    FAILED, 87626.000000 246.743244
